Provinces.Code,Provinces.Name,Year,NE.GDI.STKB.SNA08.CR,NE.GDI.EXPT.SNA08.CR,NE.GDI.CON.GOVT.SNA08.CR,NE.GDI.FTOT.SNA08.CR,NE.GDI.IMPT.SNA08.CR,NE.GDI.INEX.SNA08.CR,NE.GDI.CON.NPI.SNA08.CR,NE.GDI.CON.PRVT.SNA08.CR,NA.GDP.ACC.FB.SNA08.CR,NA.GDP.AGR.SNA08.CR,NA.GDP.BUSS.SNA08.CR,NA.GDP.CNST.SNA08.CR,NA.GDP.EDUS.SNA08.CR,NA.GDP.ELEC.GAS.SNA08.CR,NA.GDP.FINS.SNA08.CR,NA.GDP.HLTH.SOCW.SNA08.CR,NA.GDP.INF.COMM.SNA08.CR,NA.GDP.MNF.SNA08.CR,NA.GDP.MINQ.SNA08.CR,NA.GDP.SRV.OTHR.SNA08.CR,NA.GDP.PADM.DEF.SNA08.CR,NA.GDP.REST.SNA08.CR,NA.GDP.TRAN.STOR.SNA08.CR,NA.GDP.WTR.WST.SNA08.CR,NA.GDP.TRD.SNA08.CR,IDX.HDI.REV,SL.EMP.AGR.FRST.FSH,SL.EMP.CNST,SL.EMP.ELC,SL.EMP.FINS,SL.EMP.IND,SL.EMP.MINQ,SL.EMP.SOCL,SL.EMP.TRAD,SL.EMP.TRAN,SL.TLF,SI.POV.BPL,SI.POV.NAPR.ZS,NE.GDI.TOTL.SNA08.CR,Population,Jokowi.Vote,Prabowo.Vote
ID.BA,"Bali, Prop.",2013,1909274.667,43810442.07,16611925.76,44931662.75,9897102.724,-34326876.46,1716521.228,69651681.9,28936175.06,20451528.09,1344009.847,13258591.46,6484149.589,175411.5011,5780573.576,2673578.397,7312441.376,8656357.727,1758245.304,2016722.906,6845972.582,5966633.312,11310696.32,262977.8635,11173464.28,72.09,547746,207831,8880,89991,312858,8918,378358,616613,70881,2283896,182800,4.49,134407529.2,4056300,71.42,28.58
ID.BT,"Banten, Prop.",2013,6374382.776,116150173.8,18671954.43,107508901.4,275943614.6,184166870.5,1747946.085,219159467.8,8583557.49,22670344.9,3670999.176,34612026.65,11955549.05,5437893.427,10883255.61,4393351.923,13573105.94,140949165.8,3404621.394,5663981.164,7205515.227,27018145.47,28723897.11,307164.5396,48783507.32,69.47,726880,244250,15500,248908,1187936,49477,794299,1110284,310092,5181796,677500,5.89,377836082.2,11452500,42.9,57.1
ID.BE,"Bengkulu, Prop.",2013,979133.576,4116499.741,7615202.551,16783325.11,451085.3658,-15520973.78,1018276.349,26025111.97,575095.5596,13010666.77,824505.4415,1956285.664,2570449.238,20290.32974,1486749.484,568303.4873,1409316.601,2465648.923,1668425.719,268912.8756,3575367.266,1629535.888,3076030.462,87166.57308,5372739.869,67.5,436481,38407,1354,16817,25570,9881,139328,142658,21552,872233,323500,17.75,40565490.15,1814400,54.73,45.27
ID.YO,"DI Yogyakarta, Prop.",2013,967149.9055,4224511.525,13629833.88,24250704.41,2514539.968,-15192186.45,2457182.394,57101887.22,8284060.734,9449019.719,855439.4095,8060750.466,6816002.086,86394.4779,3170932.673,2094674.426,7572218.883,11563733.76,495039.4671,2147020.188,6702818.703,5815245.075,4783126.517,89645.31777,6938421.017,76.44,531559,104506,5388,54090,251892,9075,375954,487923,65684,1949243,541900,15.03,84924542.92,3594900,55.81,44.19
ID.JK,"DKI Jakarta, Prop.",2013,12030287.1,268096294.2,211344789.3,683692105.4,938237414.8,343984925.7,26804808.83,939160695.7,79798168.64,1628411.962,105903828.3,210869986,79619388.98,5078079.385,162990943.8,25065341.87,115909491.4,209498625.1,4287997.836,52398608.29,89312048.86,98684130.14,44137977.28,653060.7877,261040402.8,78.08,15629,180091,6663,464978,667959,16467,1242735,1645119,428598,5108943,371700,3.72,1546876491,9969900,53.08,46.85
ID.GO,"Gorontalo, Prop.",2013,387165.63,95489.93,5497584.18,6901687.27,633395.22,-3982540.11,145497.63,13717787.55,484247.344,8271861.786,21588.17665,2608107.46,907523.246,10721.38706,847086.5739,769341.3205,570284.6484,887838.7689,305454.5992,386549.0731,2035689.539,413047.7068,1327832.208,10995.6365,2271107.39,64.7,169416,27081,719,8316,35129,13239,90725,78174,36131,478813,198500,18,22129276.86,1098000,36.9,63.1
ID.JA,"Jambi, Prop.",2013,645131.5521,43367283.27,12000226.23,32929971.32,3643584.522,-15556466.83,634696.8683,59598782.59,1320290.385,33312291.61,1422357.279,8818723.764,4427522.721,53259.71436,3255656.697,1222742.687,3992189.737,14489362.89,34000223.75,1184443.853,4520002.379,1939325.044,3787176.46,184011.0404,12046460.47,67.76,735824,60699,1493,21927,52543,26268,212204,233504,52785,1467007,277700,8.41,129976040.5,3268100,50.75,49.25
ID.JR,"Jawa Barat, Prop.",2013,58549693.39,279660307.3,73717544.96,301400003.8,165900803.6,-109524532.2,8518791.375,812568323.8,30027380.08,114042321.7,4873091.868,99103612.36,29595982.53,8783322.221,32408455.16,7194042.844,30268188.4,544183777.9,34829948.32,22320384.69,30242182.04,13739946.85,56700883.1,955503.3262,199720305.3,68.25,3804324,1284643,64189,539379,3935610,140469,3124606,4799189,1039534,20620610,4375200,9.61,1258989329,45340800,40.22,59.78
ID.JT,"Jawa Tengah, Prop.",2013,40831959.55,70362204.89,69299782.96,242163565.8,186800827.7,64518893,9260133.551,520380304.4,24487543.92,131450708.1,2701391.31,83050225.58,33525590.18,768193.3,23426201.34,6489260.4,25807431.64,292260728.2,16069715.58,11812509.47,24638141.85,13319138.86,23658240.7,567119.85,115983876.2,68.02,5173387,966353,20461,314879,3104519,68434,2510143,3694115,617669,17524022,4811300,14.44,830016016.4,33264300,66.65,33.35
ID.JI,"Jawa Timur, Prop.",2013,1383610.228,228013850.9,93232474.47,380563756.1,291795841.8,87316549.3,16870925.55,866916172.6,67904453.43,186038314,10904702.65,127498904.4,37680736.74,5168145.849,36441096.75,8431372.212,66085763.11,397997723,73777251.34,18791280.3,34694829.73,22540310.49,42435216.65,1367522.66,244743874.1,67.55,7411285,1047454,28700,344795,2779265,121951,3037842,4101445,681173,20432453,4893000,12.73,1382501497,38363200,53.17,46.83
